id,issue_type,title,status,epic_id,priority,risk,size,tool_hint,tags,acceptance_criteria,description
1000,Epic,EPIC E1: Evaluation Foundation,done,,P0,medium,XL,codex,roadmap12w|type:epic|epic:E1|lane:eval-devops|week:1-3,Baseline dataset lock file exists and is versioned | Per-commit and nightly metric jobs are defined | Baseline outputs are published as artifacts for comparison,"Weeks 1-3. Establish deterministic datasets, baseline metrics, CI smoke checks, and dashboards used as hard release gates."
1100,Epic,EPIC E2: Receipts + Proposal Workflow,done,,P0,high,XL,codex,roadmap12w|type:epic|epic:E2|lane:backend-plugin|week:2-6,Proposal-only workflow exists for rename/type/comment mutations | Every auto-applied change includes a receipt | Rollback can restore previous state reliably,Weeks 2-6. Build receipt-first proposal flow with review/apply/rollback as the default mutation path.
1200,Epic,EPIC E3: Capability Guard + Policy Modes,done,,P0,critical,XL,claude,roadmap12w|type:epic|epic:E3|lane:security-backend|week:2-7,All tool invocations are capability-checked | Policy mode enforcement is test-covered | Security regressions block release,"Weeks 2-7. Enforce capability-scoped execution and policy modes (offline, allowlist, cloud) with auditability."
1300,Epic,EPIC E4: Local Semantic Search,done,,P1,high,XL,codex,roadmap12w|type:epic|epic:E4|lane:backend-ml-plugin|week:4-8,Local index builds from analyzed artifacts | Semantic search UI is usable in-plugin | Recall/latency gates are enforced,"Weeks 4-8. Deliver local indexing, similarity retrieval, and intent-level search with measurable quality/latency gains."
1400,Epic,EPIC E5: Triage Crew v1,done,,P1,high,XL,claude,roadmap12w|type:epic|epic:E5|lane:ml-plugin|week:7-10,Triage mission graph is deterministic | Mission output is artifactized and reviewable | Hotspot recall target is measured,"Weeks 7-10. Ship deterministic triage mission that outputs map, hotspots, unknowns, and evidence references."
1500,Epic,EPIC E6: Type PR Lifecycle v1,done,,P1,high,XL,codex,roadmap12w|type:epic|epic:E6|lane:backend-plugin-ml|week:8-11,Type assertions persist with lifecycle metadata | Review UI supports approve/reject/change requests | Propagation and conflict handling are implemented,Weeks 8-11. Add type assertions lifecycle (proposed->reviewed->accepted->propagated) and reviewer workflows.
1600,Epic,EPIC E7: Corpus Sync Pilot,done,,P1,high,XL,codex,roadmap12w|type:epic|epic:E7|lane:backend-security|week:10-12,Approved-only sync path exists | Provenance chain survives sync | Cross-binary reuse can be pulled back into local analysis,Weeks 10-12. Sync approved artifacts to shared corpus with provenance and access-control enforcement.
1700,Epic,EPIC E8: Hardening + Release Candidate,done,,P0,critical,XL,claude,roadmap12w|type:epic|epic:E8|lane:all|week:11-12,Full regression suite passes | Security signoff completed | Exit-gate report and go/no-go decision recorded,"Weeks 11-12. Run full regression/soak, complete security signoff, and produce release candidate decision package."
1001,Story,E1-S1: Pin datasets and stand up deterministic evaluation harness,done,1000,P0,medium,M,codex,roadmap12w|type:story|epic:E1|lane:eval-devops|week:1,A locked dataset manifest exists with reproducible versions/checksums | Evaluation entrypoints run in a clean environment without manual steps | Seed and environment controls are documented and enforced,Type: Story. Epic: E1. Build dataset lock and baseline harness plumbing for similarity/type/diff metrics.
1002,Story,E1-S2: Add per-commit smoke metrics and nightly regression pipeline,done,1000,P0,medium,M,codex,roadmap12w|type:story|epic:E1|lane:eval-devops|week:2,Per-commit smoke job publishes metric artifacts | Nightly regression run compares against previous baseline | Failures are surfaced as blocking signals,Type: Story. Epic: E1. Wire CI jobs for smoke metrics and nightly full regression comparisons.
1003,Story,E1-S3: Run and publish stock baselines for semantic search and type recovery,done,1000,P0,medium,M,codex,roadmap12w|type:story|epic:E1|lane:eval-devops|week:2-3,Baseline run covers selected benchmark slices | Results are versioned and traceable to code/dataset revisions | Baseline summary is accessible to all lanes,Type: Story. Epic: E1. Measure stock Ghidra baseline metrics and publish artifacts as comparator.
1004,Story,E1-S4: Build metrics dashboard and alert thresholds for MVP gates,done,1000,P1,medium,S,claude,roadmap12w|type:story|epic:E1|lane:eval-devops|week:3,Dashboard shows current and trending values for all MVP exit gates | Threshold breaches trigger actionable alerts | Dashboard data is reproducible from saved artifacts,Type: Story. Epic: E1. Provide dashboard and alerting for recall/latency/receipt/rollback gates.
